ip,status,error,timeTaken
10.0.146.3,failure,Unexpected non-whitespace character after JSON at position 4,1225.50
10.0.146.61,failure,Unexpected non-whitespace character after JSON at position 4,1226.37
10.0.135.32,failure,fetch failed,10432.18
10.0.131.161,failure,fetch failed,10421.47
10.0.13.9,failure,fetch failed,10421.85
10.0.131.176,failure,fetch failed,10420.92
10.0.140.46,failure,fetch failed,10402.19
10.0.132.127,failure,fetch failed,10404.36
10.0.132.160,failure,fetch failed,10400.52
10.0.132.194,failure,fetch failed,10396.65
10.0.132.197,failure,fetch failed,10397.25
10.0.136.203,failure,fetch failed,10394.46
10.0.133.4,failure,fetch failed,10388.21
10.0.133.46,failure,fetch failed,10381.80
10.0.133.79,failure,fetch failed,10372.64
10.0.137.80,failure,fetch failed,10371.42
10.0.137.109,failure,fetch failed,10369.32
10.0.133.115,failure,fetch failed,10369.55
10.0.133.140,failure,fetch failed,10367.62
10.0.137.179,failure,fetch failed,10361.19
10.0.137.188,failure,fetch failed,10360.31
10.0.133.201,failure,fetch failed,10358.91
10.0.137.206,failure,fetch failed,10358.82
10.0.141.7,failure,fetch failed,10358.56
10.0.137.235,failure,fetch failed,10356.23
10.0.138.32,failure,fetch failed,10350.81
10.0.134.32,failure,fetch failed,10350.99
10.0.134.62,failure,fetch failed,10344.73
10.0.138.74,failure,fetch failed,10344.94
10.0.138.85,failure,fetch failed,10344.80
10.0.138.105,failure,fetch failed,10342.57
10.0.134.110,failure,fetch failed,10340.32
10.0.138.146,failure,fetch failed,10337.03
10.0.138.149,failure,fetch failed,10337.46
10.0.134.147,failure,fetch failed,10334.28
10.0.139.7,failure,fetch failed,10324.90
10.0.129.24,failure,fetch failed,10308.04
10.0.41.210,failure,fetch failed,10293.23
10.0.45.0,failure,fetch failed,10294.05
10.0.66.103,success,,25146.53
10.0.134.15,success,,25152.21
10.0.134.61,success,,25160.41
10.0.137.136,success,,25313.90
10.0.132.30,success,,25391.50
10.0.91.126,success,,25279.54
10.0.132.128,success,,25410.87
10.0.131.118,success,,25538.09
10.0.137.88,success,,25464.48
10.0.138.121,success,,25445.50
10.0.135.20,success,,25572.56
10.0.134.103,success,,25457.00
10.0.131.149,success,,25568.92
10.0.138.194,success,,25450.75
10.0.129.3,success,,25416.66
10.0.131.69,success,,25587.08
10.0.132.102,success,,25584.33
10.0.131.160,success,,25613.31
10.0.138.208,success,,25493.23
10.0.135.36,success,,25625.48
10.0.136.46,success,,25593.92
10.0.137.223,success,,25530.36
10.0.132.59,success,,25597.28
10.0.132.20,success,,25602.03
10.0.137.130,success,,25544.57
10.0.140.17,success,,25487.17
10.0.133.224,success,,25534.52
10.0.128.87,success,,25480.64
10.0.132.47,success,,25603.28
10.0.145.112,success,,25609.97
10.0.128.43,success,,25481.79
10.0.135.12,success,,25637.31
10.0.131.255,success,,25612.72
10.0.140.54,success,,25573.93
10.0.138.54,success,,25531.18
10.0.132.225,success,,25590.09
10.0.137.170,success,,25555.40
10.0.138.78,success,,25532.92
10.0.133.151,success,,25564.95
10.0.138.86,success,,25537.91
10.0.137.59,success,,25583.54
10.0.138.106,success,,25540.22
10.0.134.100,success,,25539.91
10.0.137.204,success,,25564.08
10.0.138.29,success,,25555.45
10.0.131.188,success,,25646.68
10.0.132.29,success,,25634.00
10.0.138.97,success,,25551.20
10.0.133.21,success,,25604.76
10.0.140.8,success,,25528.32
10.0.128.19,success,,25519.14
10.0.138.82,success,,25559.35
10.0.134.28,success,,25569.26
10.0.128.73,success,,25521.96
10.0.138.141,success,,25555.01
10.0.131.73,success,,25681.18
10.0.137.234,success,,25583.56
10.0.138.8,success,,25582.33
10.0.140.7,success,,25543.53
10.0.133.129,success,,25601.15
10.0.141.107,success,,25686.97
10.0.138.56,success,,25579.31
10.0.138.33,success,,25587.62
10.0.132.168,success,,25646.81
10.0.140.6,success,,25553.51
10.0.131.106,success,,25692.44
10.0.132.171,success,,25649.48
10.0.138.21,success,,25593.74
10.0.138.235,success,,25563.89
10.0.131.203,success,,25683.02
10.0.138.102,success,,25584.90
10.0.133.216,success,,25607.13
10.0.128.53,success,,25551.29
10.0.136.181,success,,25654.05
10.0.132.239,success,,25652.44
10.0.138.169,success,,25581.99
10.0.129.30,success,,25544.81
10.0.136.47,success,,25679.92
10.0.129.82,success,,25546.91
10.0.137.248,success,,25616.63
10.0.128.105,success,,25559.72
10.0.134.66,success,,25604.85
10.0.133.27,success,,25654.97
10.0.132.49,success,,25690.63
10.0.134.98,success,,25603.09
10.0.145.151,success,,25573.97
10.0.140.1,success,,25585.15
10.0.134.56,success,,25613.62
10.0.128.14,success,,25576.33
10.0.138.109,success,,25609.68
10.0.138.111,success,,25609.99
10.0.138.9,success,,25627.04
10.0.137.69,success,,25657.37
10.0.134.47,success,,25617.94
10.0.136.186,success,,25678.91
10.0.137.230,success,,25632.61
10.0.136.77,success,,25695.08
10.0.137.233,success,,25633.58
10.0.133.123,success,,25648.73
10.0.137.200,success,,25637.75
10.0.140.24,success,,25724.73
10.0.132.131,success,,25693.47
10.0.134.200,success,,25602.96
10.0.136.55,success,,25704.28
10.0.137.255,success,,25641.02
10.0.65.38,success,,25554.82
10.0.138.50,success,,25632.57
10.0.137.247,success,,25643.50
10.0.129.50,success,,25576.45
10.0.138.125,success,,25624.26
10.0.132.145,success,,25703.11
10.0.137.217,success,,25652.24
10.0.129.40,success,,25583.59
10.0.133.168,success,,25660.98
10.0.128.154,success,,25588.90
10.0.129.142,success,,25575.08
10.0.128.50,success,,25600.50
10.0.129.156,success,,25575.95
10.0.131.241,success,,25732.87
10.0.131.192,success,,25738.89
10.0.134.142,success,,25629.03
10.0.132.211,success,,25705.35
10.0.132.232,success,,25703.15
10.0.134.57,success,,25644.98
10.0.136.198,success,,25705.65
10.0.137.231,success,,25660.29
10.0.138.206,success,,25627.75
10.0.132.212,success,,25709.07
10.0.128.116,success,,25609.36
10.0.131.247,success,,25741.79
10.0.133.23,success,,25700.04
10.0.140.22,success,,25622.25
10.0.134.154,success,,25636.21
10.0.133.43,success,,25699.62
10.0.138.113,success,,25647.77
10.0.132.214,success,,25714.88
10.0.140.23,success,,25764.91
10.0.138.213,success,,25635.81
10.0.129.9,success,,25603.57
10.0.134.31,success,,25670.01
10.0.138.108,success,,25658.61
10.0.140.30,success,,25639.06
10.0.136.95,success,,25737.52
10.0.128.28,success,,25625.34
10.0.128.151,success,,25615.61
10.0.137.220,success,,25681.52
10.0.140.20,success,,25779.91
10.0.139.20,success,,25642.37
10.0.129.25,success,,25614.05
10.0.129.14,success,,25615.15
10.0.128.108,success,,25625.47
10.0.141.6,success,,25685.35
10.0.136.64,success,,25749.82
10.0.132.236,success,,25730.78
10.0.138.134,success,,25666.98
10.0.138.103,success,,25672.82
10.0.128.94,success,,25640.00
10.0.138.17,success,,25689.69
10.0.138.80,success,,25681.01
10.0.138.124,success,,25676.11
10.0.138.91,success,,25682.05
10.0.137.108,success,,25717.99
10.0.138.182,success,,25671.08
10.0.133.186,success,,25707.55
10.0.129.93,success,,25629.04
10.0.132.137,success,,25760.98
10.0.135.216,success,,25780.95
10.0.133.160,success,,25715.96
10.0.134.132,success,,25682.92
10.0.138.131,success,,25688.01
10.0.134.41,success,,25699.01
10.0.138.161,success,,25683.79
10.0.139.3,success,,25673.63
10.0.133.106,success,,25729.27
10.0.128.7,success,,25662.06
10.0.133.235,success,,25717.60
10.0.135.151,success,,25802.79
10.0.128.146,success,,25656.68
10.0.145.118,success,,25728.41
10.0.138.175,success,,25693.32
10.0.129.90,success,,25650.73
10.0.134.2,success,,25723.70
10.0.138.191,success,,25695.29
10.0.140.4,success,,25687.13
10.0.129.130,success,,25650.40
10.0.128.136,success,,25665.59
10.0.134.1,success,,25726.95
10.0.132.126,success,,25788.47
10.0.128.121,success,,25669.82
10.0.137.246,success,,25731.51
10.0.129.27,success,,25664.69
10.0.131.114,success,,25828.38
10.0.134.38,success,,25724.53
10.0.98.147,success,,25646.82
10.0.128.156,success,,25671.88
10.0.128.134,success,,25673.38
10.0.129.88,success,,25665.88
10.0.129.120,success,,25661.52
10.0.132.228,success,,25784.81
10.0.132.204,success,,25787.93
10.0.134.105,success,,25721.06
10.0.128.133,success,,25679.76
10.0.133.193,success,,25748.06
10.0.128.5,success,,25691.13
10.0.137.145,success,,25757.26
10.0.138.176,success,,25723.27
10.0.129.87,success,,25682.91
10.0.128.138,success,,25691.17
10.0.139.27,success,,25718.80
10.0.138.145,success,,25735.37
10.0.136.88,success,,25820.53
10.0.137.213,success,,25763.46
10.0.137.150,success,,25772.74
10.0.145.138,success,,25716.15
10.0.134.175,success,,25728.88
10.0.138.216,success,,25727.78
10.0.133.250,success,,25761.26
10.0.7.109,success,,25679.71
10.0.137.253,success,,25764.64
10.0.128.58,success,,25714.88
10.0.132.183,success,,25821.26
10.0.138.221,success,,25735.51
10.0.140.38,success,,25853.63
10.0.16.18,success,,25693.68
10.0.133.171,success,,25785.82
10.0.129.74,success,,25709.04
10.0.128.36,success,,25726.35
10.0.47.189,success,,25695.82
10.0.138.143,success,,25760.39
10.0.140.19,success,,25885.91
10.0.128.71,success,,25738.28
10.0.138.211,success,,25757.73
10.0.129.89,success,,25720.50
10.0.145.155,success,,25742.51
10.0.137.211,success,,25796.76
10.0.129.134,failure,Unexpected token '<', "<?xml vers"... is not valid JSON,25706.20
10.0.145.121,success,,25767.94
10.0.129.95,success,,25722.42
10.0.9.231,success,,25713.95
10.0.129.70,success,,25728.69
10.0.129.84,success,,25726.80
10.0.134.8,success,,25796.32
10.0.129.59,success,,25730.35
10.0.129.155,success,,25721.92
10.0.129.86,success,,25730.62
10.0.132.106,success,,25865.09
10.0.129.6,success,,25738.15
10.0.129.159,success,,25729.80
10.0.134.51,success,,25795.87
10.0.128.141,success,,25746.84
10.0.145.122,success,,25781.01
10.0.128.100,success,,25761.90
10.0.128.79,success,,25767.05
10.0.133.88,success,,25841.44
10.0.129.76,success,,25753.95
10.0.145.148,success,,25775.40
10.0.138.130,success,,25804.29
10.0.129.5,success,,25758.60
10.0.134.179,success,,25793.64
10.0.128.127,success,,25767.66
10.0.129.19,success,,25769.46
10.0.138.64,success,,25824.55
10.0.128.61,success,,25787.55
10.0.138.7,success,,25842.02
10.0.138.150,success,,25822.11
10.0.138.238,success,,25812.47
10.0.139.9,success,,25811.98
10.0.137.126,success,,25865.64
10.0.68.220,success,,25787.56
10.0.129.147,success,,25781.20
10.0.138.42,success,,25852.89
10.0.133.241,success,,25859.95
10.0.129.97,success,,25787.24
10.0.133.229,success,,25863.81
10.0.19.5,success,,25777.66
10.0.137.242,success,,25865.00
