ip,status,error,timeTaken
10.0.146.3,failure,Unexpected non-whitespace character after JSON at position 4,1093.14
10.0.146.61,failure,Unexpected non-whitespace character after JSON at position 4,1094.70
10.0.135.32,failure,fetch failed,10436.74
10.0.131.161,failure,fetch failed,10419.10
10.0.13.9,failure,fetch failed,10418.98
10.0.131.176,failure,fetch failed,10416.81
10.0.140.46,failure,fetch failed,10383.51
10.0.132.127,failure,fetch failed,10389.34
10.0.132.160,failure,fetch failed,10386.56
10.0.132.194,failure,fetch failed,10380.74
10.0.132.197,failure,fetch failed,10380.35
10.0.136.203,failure,fetch failed,10375.24
10.0.133.4,failure,fetch failed,10371.19
10.0.133.46,failure,fetch failed,10359.11
10.0.133.79,failure,fetch failed,10355.15
10.0.137.80,failure,fetch failed,10354.75
10.0.137.109,failure,fetch failed,10352.20
10.0.133.115,failure,fetch failed,10351.83
10.0.133.140,failure,fetch failed,10348.93
10.0.137.179,failure,fetch failed,10342.48
10.0.137.188,failure,fetch failed,10342.05
10.0.133.201,failure,fetch failed,10340.89
10.0.137.206,failure,fetch failed,10340.63
10.0.141.7,failure,fetch failed,10339.85
10.0.137.235,failure,fetch failed,10338.21
10.0.138.32,failure,fetch failed,10331.64
10.0.134.32,failure,fetch failed,10328.64
10.0.134.62,failure,fetch failed,10325.49
10.0.138.74,failure,fetch failed,10325.51
10.0.138.85,failure,fetch failed,10324.56
10.0.138.105,failure,fetch failed,10322.86
10.0.134.110,failure,fetch failed,10319.64
10.0.138.146,failure,fetch failed,10317.07
10.0.138.149,failure,fetch failed,10316.12
10.0.134.147,failure,fetch failed,10312.50
10.0.139.7,failure,fetch failed,10305.70
10.0.129.24,failure,fetch failed,10270.19
10.0.41.210,failure,fetch failed,10263.14
10.0.45.0,failure,fetch failed,10262.90
10.0.131.73,success,,27020.42
10.0.132.128,success,,27858.78
10.0.131.114,success,,27935.11
10.0.140.8,success,,27798.46
10.0.137.88,success,,27867.42
10.0.131.69,success,,27973.96
10.0.137.220,success,,27897.77
10.0.132.49,success,,27964.99
10.0.140.7,success,,27871.95
10.0.135.20,success,,28036.71
10.0.137.233,success,,27922.62
10.0.137.153,success,,27935.25
10.0.132.239,success,,27984.80
10.0.136.64,success,,28011.07
10.0.53.238,success,,27876.51
10.0.133.90,success,,27980.89
10.0.134.51,success,,27956.12
10.0.133.43,success,,27994.15
10.0.129.147,success,,27894.41
10.0.133.23,success,,27997.42
10.0.129.134,success,,27887.33
10.0.129.148,success,,27902.87
10.0.138.54,success,,27970.25
10.0.137.255,success,,27980.19
10.0.135.216,success,,28068.98
10.0.132.126,success,,28051.79
10.0.65.38,success,,27916.38
10.0.136.55,success,,28073.64
10.0.129.156,success,,27938.15
10.0.132.133,success,,28070.80
10.0.136.77,success,,28088.35
10.0.138.103,success,,28016.10
10.0.136.46,success,,28096.60
10.0.131.102,success,,28168.39
10.0.137.234,success,,28054.85
10.0.137.136,success,,28070.77
10.0.129.130,success,,27988.91
10.0.129.70,success,,27997.79
10.0.145.149,success,,28023.28
10.0.128.127,success,,28013.25
10.0.138.134,success,,28073.29
10.0.145.122,success,,28063.96
10.0.94.60,success,,28049.37
10.0.138.121,success,,28081.25
10.0.128.94,success,,28054.45
10.0.9.231,success,,28021.83
10.0.129.3,success,,28038.02
10.0.136.198,success,,28145.25
10.0.129.50,success,,28051.28
10.0.134.47,success,,28108.00
10.0.128.121,success,,28066.70
10.0.66.103,success,,28204.43
10.0.138.221,success,,28110.76
10.0.129.142,success,,28066.92
10.0.128.135,success,,28087.62
10.0.128.92,success,,28102.87
10.0.134.81,success,,28153.24
10.0.138.235,success,,28170.68
10.0.68.220,success,,28146.20
10.0.129.93,success,,28154.50
10.0.129.12,success,,28179.90
10.0.145.148,success,,28226.74
10.0.91.126,success,,28716.57
10.0.136.181,success,,28832.81
10.0.133.88,success,,28810.70
10.0.135.36,success,,28917.36
10.0.131.247,success,,28896.55
10.0.131.106,success,,28941.89
10.0.131.203,success,,28936.21
10.0.128.87,success,,28824.96
10.0.129.89,success,,28820.01
10.0.132.232,success,,28936.35
10.0.129.159,success,,28822.12
10.0.131.188,success,,28991.51
10.0.138.150,success,,28885.18
